ARGENTINA,Argentine Peso
AUSTRALIA,Australian Dollar
AUSTRIA,Euro
BAHAMAS,Bahamian Dollar
BAHRAIN,Bahraini Dinar
BANGLADESH,Taka
BARBADOS,Barbados Dollar
BELGIUM,Euro
BERMUDA,Bermudian Dollar
BHUTAN,Indian Rupee
BRAZIL,Brazilian Real
CAMBODIA,Riel
CHILE,Chilean Peso
CHINA,Yuan Renminbi
EGYPT,Egyptian Pound
FIJI,Fiji Dollar
FINLAND,Euro
FRANCE,Euro
GERMANY,Euro
GHANA,Ghana Cedi
GREECE,Euro
HONG KONG,Hong Kong Dollar
HUNGARY,Forint
ICELAND,Iceland Krona
INDIA,Indian Rupee
INDONESIA,Rupiah
ITALY,Euro
JAMAICA,Jamaican Dollar
JAPAN,Yen
KUWAIT,Kuwaiti Dinar
MALAYSIA,Malaysian Ringgit
NETHERLANDS,Euro
NEW ZEALAND,New Zealand Dollar
NORWAY,Norwegian Krone
PAKISTAN,Pakistan Rupee
PALAU,US Dollar
PHILIPPINES,Philippine Peso
PORTUGAL,Euro
PUERTO RICO,US Dollar
QATAR,Qatari Rial
RUSSIAN FEDERATION,Russian Ruble
SAUDI ARABIA,Saudi Riyal
SINGAPORE,Singapore Dollar
SOUTH AFRICA,Rand
SPAIN,Euro
SRI LANKA,Sri Lanka Rupee
SWEDEN,Swedish Krona
TAIWAN,New Taiwan Dollar
THAILAND,Baht
TUNISIA,Tunisian Dinar
TURKEY,Turkish Lira
UNITED ARAB EMIRATES,UAE Dirham
UNITED KINGDOM,Pound Sterling
UNITED STATES,US Dollar
VIET NAM,Dong
